test_id,categoria,consulta,versao,provider,deve_recusar,generos_esperados,resposta,livros_recuperados,generos_recuperados,quantidade_recuperada,recusou,acerto_recusa,acerto_genero_recuperacao,sucesso_tecnico,tempo_ms,erro
T001,facil,"Quero uma fantasia com magia, aventura e protagonista jovem.",sem_rag,openai,False,FANTASIA,"1. ""O Nome do Vento"" de Patrick Rothfuss
2. ""A Menina que Tinha Dons"" de M.R. Carey
3. ""O Ciclo da Herança"" de Christopher Paolini",,,0,False,True,,True,1454.1,
T001,facil,"Quero uma fantasia com magia, aventura e protagonista jovem.",com_rag,openai,False,FANTASIA,"Recomendo ""Harry Potter e a Pedra Filosofal"" de J.K. Rowling. Este livro apresenta um jovem protagonista, Harry, que descobre um mundo mágico repleto de aventuras e elementos de fantasia. Outra opção é ""Ai Meus Deuses"" de Tera Lynn Childs, que também envolve uma protagonista jovem e uma narrativa cheia de magia e aventura, ambientada em um contexto mitológico.",The Bastard Son & The Devil Himself | O Príncipe Cruel | O Senhor dos Anéis- A Sociedade do Anel | Ai Meus Deuses | Harry Potter e a Pedra Filosofal | As Crônicas de Nárnia,FANTASIA | FANTASIA | FANTASIA | FANTASIA | FANTASIA | FANTASIA,6,False,True,True,True,8302.12,
T002,facil,Procuro um romance leve e contemporâneo.,sem_rag,openai,False,ROMANCE,"1. ""O Verão que Mudou Minha Vida"" - Jenny Han  
2. ""A Lista de Brett"" - Rachael Lippincott  
3. ""O Amor Não Tem Leis"" - Mariana Enriquez",,,0,False,True,,True,1650.0,
T002,facil,Procuro um romance leve e contemporâneo.,com_rag,openai,False,ROMANCE,"Recomendo ""É assim que começa"" de Colleen Hoover e ""A Hipótese do Amor"" de Ali Hazelwood. Ambos são romances contemporâneos que oferecem histórias leves e envolventes, ideais para quem busca uma leitura agradável.",É assim que começa | A Hipótese do Amor | 50 Tons de Cinza | Grande Sertão Veredas | Gabriela Cravo e Canela,ROMANCE | ROMANCE | ROMANCE | ROMANCE | ROMANCE,5,False,True,True,True,2075.35,
T003,facil,Quero um livro de terror com clima sombrio e sobrenatural.,sem_rag,openai,False,TERROR,"1. ""A Casa dos Espíritos"" - Isabel Allende
2. ""O Iluminado"" - Stephen King
3. ""A Assombração da Casa da Colina"" - Shirley Jackson",,,0,False,True,,True,1347.06,
T003,facil,Quero um livro de terror com clima sombrio e sobrenatural.,com_rag,openai,False,TERROR,"Recomendo ""Drácula"" de Bram Stoker, que é um clássico do terror e apresenta uma narrativa envolvente sobre vampiros, perfeita para quem busca um clima sombrio e sobrenatural. Outra opção é ""O Corvo"" de Edgar Allan Poe, que explora a dor da perda e a angústia da existência em um tom igualmente sombrio. Ambas as obras atendem ao seu pedido.",Drácula | O Corvo,TERROR | TERROR,2,False,True,True,True,1663.98,
T004,facil,Indique um suspense com mistério e investigação.,sem_rag,openai,False,SUSPENSE,"1. ""A Garota no Trem"" - Paula Hawkins
2. ""O Silêncio dos Inocentes"" - Thomas Harris
3. ""A Verdade Sobre o Caso Harry Quebert"" - Joël Dicker",,,0,False,True,,True,1070.53,
T004,facil,Indique um suspense com mistério e investigação.,com_rag,openai,False,SUSPENSE,"Recomendo ""O Homem de Giz"" de C. J. Tudor, que envolve mistério e investigação em torno de um crime do passado, e ""Manual de Assassinato para Boas Garotas"" de Holly Jackson, que também foca em uma investigação de assassinato. Ambas as obras são excelentes opções dentro do gênero suspense.",O Homem de Giz | Manual de Assassinato para Boas Garotas | O Jardim das Borboletas | Não Conte a Ninguém,SUSPENSE | SUSPENSE | SUSPENSE | SUSPENSE,4,False,True,True,True,1275.18,
T005,facil,Quero ler uma biografia inspiradora.,sem_rag,openai,False,BIOGRAFIA,"1. ""Steve Jobs"" de Walter Isaacson
2. ""A Menina que Roubava Livros"" de Markus Zusak (embora seja ficção, é inspiradora e tem elementos biográficos)
3. ""Long Walk to Freedom"" de Nelson Mandela",,,0,False,True,,True,1172.05,
T005,facil,Quero ler uma biografia inspiradora.,com_rag,openai,False,BIOGRAFIA,"A opção mais próxima no catálogo é ""Anatomia do Mal"" de Harold Schechter. Ela foi selecionada por estar entre os livros mais compatíveis com a preferência informada.",Anatomia do Mal,BIOGRAFIA,1,False,True,True,True,789.59,
