test_id,categoria,versao,consulta,resposta,relevancia_0_a_4,coerencia_0_a_4,utilidade_0_a_4,alucinou_sim_nao,observacoes
T001,facil,sem_rag,"Quero uma fantasia com magia, aventura e protagonista jovem.","1. ""O Nome do Vento"" de Patrick Rothfuss
2. ""A Menina que Tinha Dons"" de M.R. Carey
3. ""O Ciclo da Herança"" de Christopher Paolini",,,,,
T001,facil,com_rag,"Quero uma fantasia com magia, aventura e protagonista jovem.","Recomendo ""Harry Potter e a Pedra Filosofal"" de J.K. Rowling. Este livro apresenta um jovem protagonista, Harry, que descobre um mundo mágico repleto de aventuras e elementos de fantasia. Outra opção é ""Ai Meus Deuses"" de Tera Lynn Childs, que também envolve uma protagonista jovem e uma narrativa cheia de magia e aventura, ambientada em um contexto mitológico.",,,,,
T002,facil,sem_rag,Procuro um romance leve e contemporâneo.,"1. ""O Verão que Mudou Minha Vida"" - Jenny Han  
2. ""A Lista de Brett"" - Rachael Lippincott  
3. ""O Amor Não Tem Leis"" - Mariana Enriquez",,,,,
T002,facil,com_rag,Procuro um romance leve e contemporâneo.,"Recomendo ""É assim que começa"" de Colleen Hoover e ""A Hipótese do Amor"" de Ali Hazelwood. Ambos são romances contemporâneos que oferecem histórias leves e envolventes, ideais para quem busca uma leitura agradável.",,,,,
T003,facil,sem_rag,Quero um livro de terror com clima sombrio e sobrenatural.,"1. ""A Casa dos Espíritos"" - Isabel Allende
2. ""O Iluminado"" - Stephen King
3. ""A Assombração da Casa da Colina"" - Shirley Jackson",,,,,
T003,facil,com_rag,Quero um livro de terror com clima sombrio e sobrenatural.,"Recomendo ""Drácula"" de Bram Stoker, que é um clássico do terror e apresenta uma narrativa envolvente sobre vampiros, perfeita para quem busca um clima sombrio e sobrenatural. Outra opção é ""O Corvo"" de Edgar Allan Poe, que explora a dor da perda e a angústia da existência em um tom igualmente sombrio. Ambas as obras atendem ao seu pedido.",,,,,
T004,facil,sem_rag,Indique um suspense com mistério e investigação.,"1. ""A Garota no Trem"" - Paula Hawkins
2. ""O Silêncio dos Inocentes"" - Thomas Harris
3. ""A Verdade Sobre o Caso Harry Quebert"" - Joël Dicker",,,,,
T004,facil,com_rag,Indique um suspense com mistério e investigação.,"Recomendo ""O Homem de Giz"" de C. J. Tudor, que envolve mistério e investigação em torno de um crime do passado, e ""Manual de Assassinato para Boas Garotas"" de Holly Jackson, que também foca em uma investigação de assassinato. Ambas as obras são excelentes opções dentro do gênero suspense.",,,,,
T005,facil,sem_rag,Quero ler uma biografia inspiradora.,"1. ""Steve Jobs"" de Walter Isaacson
2. ""A Menina que Roubava Livros"" de Markus Zusak (embora seja ficção, é inspiradora e tem elementos biográficos)
3. ""Long Walk to Freedom"" de Nelson Mandela",,,,,
T005,facil,com_rag,Quero ler uma biografia inspiradora.,"A opção mais próxima no catálogo é ""Anatomia do Mal"" de Harold Schechter. Ela foi selecionada por estar entre os livros mais compatíveis com a preferência informada.",,,,,
T006,facil,sem_rag,Procuro um clássico conhecido e importante para a literatura.,"1. ""Orgulho e Preconceito"" - Jane Austen  
2. ""1984"" - George Orwell  
3. ""Dom Quixote"" - Miguel de Cervantes",,,,,
T006,facil,com_rag,Procuro um clássico conhecido e importante para a literatura.,"Recomendo ""Memórias Póstumas de Brás Cubas"" de Machado de Assis, que é um clássico fundamental da literatura brasileira, conhecido por suas reflexões filosóficas e críticas sociais. Outra excelente opção é ""Orgulho e Preconceito"" de Jane Austen, um clássico da literatura inglesa que explora temas de classe e relações sociais. Ambos são obras importantes e reconhecidas na literatura mundial.",,,,,
T007,facil,sem_rag,Quero um livro infantil curto e divertido.,"1. ""O Pequeno Príncipe"" de Antoine de Saint-Exupéry
2. ""A Lagartinha Muito Comilona"" de Eric Carle
3. ""O Livro dos Porquês"" de Ruth Rocha",,,,,
T007,facil,com_rag,Quero um livro infantil curto e divertido.,"A melhor opção disponível no catálogo para um livro infantil curto e divertido é ""O Gato Malhado e a Andorinha Sinhá"" de Jorge Amado. A obra narra de forma lírica a história do amor entre um gato mau e uma adorável andorinha, mostrando como criaturas diferentes podem conviver em paz e mudar suas perspectivas.",,,,,
T008,facil,sem_rag,Indique uma obra de ficção com uma ideia criativa.,"1. ""A Máquina do Tempo"" de H.G. Wells - Um clássico da ficção científica que explora viagens no tempo.
2. ""O Nome do Vento"" de Patrick Rothfuss - Uma narrativa envolvente sobre um jovem prodígio em um mundo mágico.
3. ""A Casa dos Espíritos"" de Isabel Allende - Uma saga familiar que mistura realismo mágico e questões sociais.",,,,,
T008,facil,com_rag,Indique uma obra de ficção com uma ideia criativa.,"A melhor opção disponível no catálogo que atende ao pedido por uma obra de ficção com uma ideia criativa é ""Frankenstein"" de Mary Shelley. A história aborda temas inovadores sobre a criação e as consequências da ambição humana, explorando a relação entre criador e criatura de maneira única.",,,,,
T009,medio,sem_rag,"Gosto de histórias sobre futuros possíveis, tecnologia e impactos na sociedade.","1. ""Neuromancer"" de William Gibson - Um clássico do cyberpunk que explora a interseção entre tecnologia e sociedade.
2. ""A Era do Capital Improdutivo"" de Mariana Mazzucato - Analisa como a inovação tecnológica impacta a economia e a sociedade contemporânea.
3. ""O Conto da Aia"" de Margaret Atwood - Uma distopia que aborda questões de gênero e controle social em um futuro opressivo.",,,,,
T009,medio,com_rag,"Gosto de histórias sobre futuros possíveis, tecnologia e impactos na sociedade.","A opção mais próxima no catálogo é ""Uma Breve História do Tempo"" de Stephen Hawking, ""O Universo Numa Casca de Noz"" de Stephen Hawking, ""O Universo Elegante"" de Brian Greene. Ela foi selecionada por estar entre os livros mais compatíveis com a preferência informada.",,,,,
T010,medio,sem_rag,"Quero uma história emocional sobre relacionamentos, mas sem ser muito longa.","1. ""O Pequeno Príncipe"" de Antoine de Saint-Exupéry
2. ""A Menina que Roubava Livros"" de Markus Zusak
3. ""O Lado Bom da Vida"" de Matthew Quick",,,,,
